No,Concept,Subcategory,ID,Tool-ID,Description,Table_name_1,Column_name_1,Table_name_2,Column_name_2,Achilles_P/S,Achilles analysis_id,삭제 Tool_ID,Description,Table_name_1,Column_name_1,Table_name_2,Column_name_2,Achilles_P/S,Achilles analysis_id,,,,,,,,,,,,
,Completeness,N/A,DC1_1,BA-002,returns the percentage of records with unmapped concept ids,Measurement,measurement_concept_id,,,,,,,measurement,,,,,,,,,,,,,,,,,
,,,,,,Procedure_Occurrence,procedure_concept_id,,,,,,,procedure_occurrence,,,,,,,,,,,,,,,,,
,,,,,,Drug_Exposure,drug_concept_id,,,,,,,drug_exposure,,,,,,,,,,,,,,,,,
,,,,,,Condition_Occurrence,condition_concept_id,,,,,,,condition_occurrence,,,,,,,,,,,,,,,,,
,,,,,,Visit_Occurrence,visit_concept_id,,,,,,,visit_occurrence,,,,,,,,,,,,,,,,,
,,,,,,Device_Exposure,device_concept_id,,,,,,,device,,,,,,,,,,,,,,,,,
,,,,,,Death,cause_concept_id,,,,,,,death,,,,,,,,,,,,,,,,,
,,,,,,Person,gender_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Person,gender_source_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Person,race_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Person,race_source_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Person,ethnicity_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Person,ethnicity_source_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Person,language_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Person,language_source_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Death,death_type_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Death,cause_source_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Death,death_impute_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Care_Site,place_of_service_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Care_Site,specialty_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Provider,gender_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Provider,specialty_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Provider,specialty_source_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Provider,gender_source_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Visit_Occurrence,visit_type_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Visit_Occurrence,visit_source_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Visit_Occurrence,admitting_source_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Visit_Occurrence,discharge_to_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Condition_Occurrence,condition_type_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Condition_Occurrence,condition_source_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Procedure_Occurrence,modifier_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Procedure_Occurrence,procedure_type_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Procedure_Occurrence,procedure_source_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Observation,observation_type_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Observation,value_as_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Observation,qualifier_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Observation,unit_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Observation,observation_source_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Drug_Exposure,drug_type_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Drug_Exposure,route_concept_id,,,,,,,,,,,,,,,,,,,,,,,,
