stage ,Check_id,check_desc,stratum1,stratum2,stratum3,stratum4,stratum5,ºñ°í,dq_category,dq_subcategory,dq_severity,origin_tool,comment,,
CDM,1 ,check wrong vocabulary concept of domain,care_site,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,condiion_era,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,condition_occurrence,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,cost,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,death,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,device_exposure,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,dose_era,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,drug_era,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,drug_exposure,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,measurement,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,note,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,note_nlp,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,observation,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,payer_plan__period,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,person,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,procedure_occurrence,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,provider,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,specimen ,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,visit_detail,,,,,,Conformance,Value,,Achilles,,,
CDM,1 ,check wrong vocabulary concept of domain,visit_occurrence,,,,,,Conformance,Value,,Achilles,,,
CDM,2 ,check incorrect terminology concept,cost,revenue_code_concept_id,,,,,Conformance,Value,,Achilles,,,
META ,3 ,check incorrect domain code,dev_cost,,,,,,Conformance,Value,,DQUEEN,,,
META ,3 ,check incorrect domain code,dev_device,,,,,,Conformance,Value,,DQUEEN,,,
META ,3 ,check incorrect domain code,dev_drug,,,,,,Conformance,Value,,DQUEEN,,,
